Distcomp, Library, Design Unit, compile Time, Peak Mem Usage
0, work, top, 0h:00m:00s,    213 MB
1, work, MEM_WB, 0h:00m:00s,    212 MB
2, work, __ZEBU_mem_a32_d32_ra_ws_2, 0h:00m:00s,    212 MB
2, work, __ZEBU_mem_a32_d32_ra_ws_1, 0h:00m:00s,    212 MB
2, work, IM, 0h:00m:00s,    212 MB
3, work, Adder, 0h:00m:00s,    212 MB
4, work, MUX, 0h:00m:00s,    211 MB
5, work, MUX3_1, 0h:00m:00s,    212 MB
6, work, __ZEBU_mem_a64_d64_ra_ws_2, 0h:00m:00s,    212 MB
6, work, __ZEBU_mem_a64_d64_ra_ws_1, 0h:00m:00s,    212 MB
6, work, DM, 0h:00m:00s,    212 MB
7, work, IF_ID, 0h:00m:00s,    212 MB
8, work, PC, 0h:00m:00s,    211 MB
9, work, Hazard, 0h:00m:00s,    212 MB
10, work, ALU, 0h:00m:00s,    214 MB
11, work, Control, 0h:00m:00s,    212 MB
12, work, __ZEBU_mem_a32_d64_ra_ra_ws_2, 0h:00m:00s,    212 MB
12, work, __ZEBU_mem_a32_d64_ra_ra_ws_1, 0h:00m:00s,    212 MB
12, work, Registers, 0h:00m:00s,    212 MB
13, work, Forwarding, 0h:00m:00s,    212 MB
14, work, ImmGen, 0h:00m:00s,    212 MB
15, work, EX_MEM, 0h:00m:00s,    212 MB
16, work, comparator, 0h:00m:00s,    212 MB
17, work, ID_EX, 0h:00m:00s,    212 MB
18, work, ALUControl, 0h:00m:00s,    212 MB
