Instructions:
  1. Load this file into Excel(tm)
  2. Select line 6
  3. Select Data->Filter
  4. Filter on columns L0 and to the right to explore assignments for hierarchical modules
NAME,LUT,DFF,PINS,BIN,L0
registers1,313,32,211,FB1.uB,registers1
alu1,308,0,196,FB1.uC,alu1
dm1,166,8,196,FB1.uD,dm1
idex1,0,172,349,FB1.uB,idex1
ifid1,64,96,196,FB1.uA,ifid1
exmem1,0,136,274,FB1.uC,exmem1
memwb1,0,135,272,FB1.uD,memwb1
im1,99,32,135,FB1.uA,im1
pc1,2,64,131,FB1.uA,pc1
adder2,64,0,141,FB1.uB,adder2
cp1,64,0,129,FB1.uB,cp1
mux2,60,0,193,FB1.uD,mux2
mux3,60,0,193,FB1.uA,mux3
mux3_1_3,51,0,258,FB1.uC,mux3_1_3
mux3_1_1,51,0,258,FB1.uB,mux3_1_1
mux3_1_2,51,0,258,FB1.uB,mux3_1_2
mux3_1_4,51,0,258,FB1.uC,mux3_1_4
immgen1,17,0,37,FB1.uB,immgen1
forward1,12,0,26,FB1.uC,forward1
hazard1,12,0,31,FB1.uB,hazard1
mux1,7,0,143,FB1.uC,mux1
alucontrol,7,0,16,FB1.uC,alucontrol
control1,4,0,16,FB1.uB,control1
adder1,0,0,130,FB1.uA,adder1
